source_number	filter	x_image	y_image	sex_flux_ujy	nmad_error_ujy	redshift_bin	pointing
5161	F200W	3107.9993	2135.1851	-0.0002797591533789446	0.001602689777925119	z7-8	nircam10
5850	F200W	6135.9707	2341.9883	0.0038690390191159726	0.0018711406876131835	z7-8	nircam10
7608	F200W	1746.3938	2904.3247	0.009702954264930019	0.0014393870546968164	z7-8	nircam10
8153	F200W	9664.3301	3078.6394	0.014389904096508912	0.0025125134297825703	z7-8	nircam10
8200	F200W	9546.3604	3098.5203	0.023360361876338637	0.0029500529525179745	z7-8	nircam10
9135	F200W	9709.7617	3431.5325	0.029182991346974548	0.0032508405299271036	z7-8	nircam10
9519	F200W	4432.1802	3557.2095	0.0026487988596217713	0.0017043756249699397	z7-8	nircam10
9681	F200W	964.0814	3641.2505	0.022733975481014978	0.0032420331696763087	z7-8	nircam10
10078	F200W	7955.6567	4618.0811	0.0128923759078615	0.0037766949214025473	z7-8	nircam10
10891	F200W	9190.5293	4621.4019	0.012922269499426877	0.0015761654896983962	z7-8	nircam10
11520	F200W	6258.7886	4432.3804	0.0011430629991271309	0.002038323079256304	z7-8	nircam10
11661	F200W	2375.1572	4124.5552	0.0005154134870125606	0.001837338527636502	z7-8	nircam10
675	F277W	1063.1985	423.542	0.0023533748725136357	0.001843923554495287	z7-8	nircam10
1081	F277W	3336.532	627.9122	0.005090883659810452	0.0017768028558289152	z7-8	nircam10
1216	F277W	6499.2173	694.8171	0.007160541927992724	0.0017052743756814646	z7-8	nircam10
1697	F277W	1352.772	908.4111	-0.0010390641093362722	0.001834510552301593	z7-8	nircam10
3712	F277W	2157.7029	1632.9373	0.004474308275464998	0.0025507152098128484	z7-8	nircam10
3742	F277W	2195.3169	1648.1593	0.003346399510595908	0.0026754154471011534	z7-8	nircam10
3979	F277W	1445.8813	1740.2555	0.0025991025742665447	0.0018480018546373962	z7-8	nircam10
4941	F277W	7562.1401	2034.5925	0.03916374245155907	0.0013814016578071436	z7-8	nircam10
5161	F277W	3107.9993	2135.1851	-0.0005914031625418633	0.0019311874627829316	z7-8	nircam10
5850	F277W	6135.9707	2341.9883	0.0006178521556295452	0.0014272266950094714	z7-8	nircam10
7608	F277W	1746.3938	2904.3247	0.010441970303150904	0.0019260246355011041	z7-8	nircam10
8153	F277W	9664.3301	3078.6394	0.01004458800869045	0.002249976352963422	z7-8	nircam10
8200	F277W	9546.3604	3098.5203	0.00877312809314136	0.00255803021593379	z7-8	nircam10
9135	F277W	9709.7617	3431.5325	0.011182837118876814	0.0025019828560981336	z7-8	nircam10
9519	F277W	4432.1802	3557.2095	0.0015863687933927266	0.0017419766748711617	z7-8	nircam10
9681	F277W	964.0814	3641.2505	0.00588833697884727	0.0033575787837103236	z7-8	nircam10
10078	F277W	7955.6567	4618.0811	0.013278577571267268	0.0019208804196541212	z7-8	nircam10
10891	F277W	9190.5293	4621.4019	0.005917570535001361	0.0015461363270066891	z7-8	nircam10
11520	F277W	6258.7886	4432.3804	0.0044431520519654525	0.0015260496343110128	z7-8	nircam10
11661	F277W	2375.1572	4124.5552	0.00222832218503109	0.0013523551587675926	z7-8	nircam10
675	F356W	1063.1985	423.542	0.012142061750965678	0.0012801358760539398	z7-8	nircam10
1081	F356W	3336.532	627.9122	0.005115730776244771	0.001438917881057902	z7-8	nircam10
1216	F356W	6499.2173	694.8171	0.010107799260228404	0.0016873186371650644	z7-8	nircam10
1697	F356W	1352.772	908.4111	0.0046413314339970434	0.0014803367626449067	z7-8	nircam10
3712	F356W	2157.7029	1632.9373	0.010753636912133177	0.0016630888751886473	z7-8	nircam10
3742	F356W	2195.3169	1648.1593	0.007496713633632042	0.0017770812139843801	z7-8	nircam10
3979	F356W	1445.8813	1740.2555	0.004434695753786134	0.0018374832905381046	z7-8	nircam10
4941	F356W	7562.1401	2034.5925	0.04966637103053181	0.0014487356162385637	z7-8	nircam10
5161	F356W	3107.9993	2135.1851	0.0004698083808711361	0.0014816954313709644	z7-8	nircam10
5850	F356W	6135.9707	2341.9883	0.0181417336855634	0.001245109837534241	z7-8	nircam10
7608	F356W	1746.3938	2904.3247	0.012747060403162267	0.001564127416408436	z7-8	nircam10
8153	F356W	9664.3301	3078.6394	0.0038441649926654535	0.0017548262734117187	z7-8	nircam10
8200	F356W	9546.3604	3098.5203	0.0034400755549968166	0.0017830027627240995	z7-8	nircam10
9135	F356W	9709.7617	3431.5325	0.006438857591574543	0.002179793424603893	z7-8	nircam10
9519	F356W	4432.1802	3557.2095	0.0062398996172052254	0.0013641305171332595	z7-8	nircam10
9681	F356W	964.0814	3641.2505	0.008605376967512497	0.0021854272677989083	z7-8	nircam10
10078	F356W	7955.6567	4618.0811	0.012059597382187722	0.0015337775245975642	z7-8	nircam10
10891	F356W	9190.5293	4621.4019	0.011246879752568406	0.0015758387622218958	z7-8	nircam10
11520	F356W	6258.7886	4432.3804	0.00803517760677386	0.0016219686904650015	z7-8	nircam10
11661	F356W	2375.1572	4124.5552	0.00997842681700136	0.001390285277458381	z7-8	nircam10
675	F410M	1063.1985	423.542	0.01406954800976136	0.0026891240901657995	z7-8	nircam10
1081	F410M	3336.532	627.9122	0.00802073582495818	0.002542400370994261	z7-8	nircam10
1216	F410M	6499.2173	694.8171	0.019700862180048632	0.003179565508377998	z7-8	nircam10
1697	F410M	1352.772	908.4111	0.010280450454256814	0.0027578719380302076	z7-8	nircam10
3712	F410M	2157.7029	1632.9373	0.009825814147259087	0.003427016371618254	z7-8	nircam10
3742	F410M	2195.3169	1648.1593	0.016141919445963177	0.002878964873514203	z7-8	nircam10
3979	F410M	1445.8813	1740.2555	0.013410825500459543	0.0033414835733925883	z7-8	nircam10
4941	F410M	7562.1401	2034.5925	0.17881185020675447	0.0030981196802061643	z7-8	nircam10
5161	F410M	3107.9993	2135.1851	0.005270912005796816	0.002462137206602455	z7-8	nircam10
5850	F410M	6135.9707	2341.9883	0.040815975159877255	0.00298692397485679	z7-8	nircam10
7608	F410M	1746.3938	2904.3247	0.01696729234837954	0.0033072116842323726	z7-8	nircam10
8153	F410M	9664.3301	3078.6394	0.011830061096855905	0.003275756924096702	z7-8	nircam10
8200	F410M	9546.3604	3098.5203	0.010259285731220905	0.0037755802284345982	z7-8	nircam10
9135	F410M	9709.7617	3431.5325	-0.0020773806600349084	0.0034793785376217067	z7-8	nircam10
9519	F410M	4432.1802	3557.2095	0.01364358615787045	0.002530670009313868	z7-8	nircam10
9681	F410M	964.0814	3641.2505	0.01054091778254136	0.003106971388652005	z7-8	nircam10
10078	F410M	7955.6567	4618.0811	0.026814250700280904	0.002704392714475595	z7-8	nircam10
10891	F410M	9190.5293	4621.4019	0.009272207368556362	0.0035573790073582506	z7-8	nircam10
11520	F410M	6258.7886	4432.3804	0.020837588026967717	0.0034152192965278072	z7-8	nircam10
11661	F410M	2375.1572	4124.5552	0.008415820914158633	0.0026909586382494327	z7-8	nircam10
675	F444W	1063.1985	423.542	0.012148976275481813	0.0022083248000273593	z7-8	nircam10
1081	F444W	3336.532	627.9122	0.005956329043397725	0.0023023088131912954	z7-8	nircam10
1216	F444W	6499.2173	694.8171	0.019117456889424084	0.0021998147473774507	z7-8	nircam10
1697	F444W	1352.772	908.4111	0.013009683023953628	0.0021783985432567684	z7-8	nircam10
3712	F444W	2157.7029	1632.9373	0.013348837695487949	0.0033272009046731842	z7-8	nircam10
3742	F444W	2195.3169	1648.1593	0.01076347619557795	0.002861565323163282	z7-8	nircam10
3979	F444W	1445.8813	1740.2555	0.007454029618326133	0.0038912406247270906	z7-8	nircam10
4941	F444W	7562.1401	2034.5925	0.09585765676438633	0.0017795646317460532	z7-8	nircam10
5161	F444W	3107.9993	2135.1851	-0.0013972178435932494	0.002825477012596414	z7-8	nircam10
5850	F444W	6135.9707	2341.9883	-0.0026393643623748857	0.0020227434886749135	z7-8	nircam10
7608	F444W	1746.3938	2904.3247	0.013056859343412495	0.002876006163812602	z7-8	nircam10
8153	F444W	9664.3301	3078.6394	0.014349854439169769	0.002292777317504302	z7-8	nircam10
8200	F444W	9546.3604	3098.5203	0.010243446949415905	0.0024264715724791313	z7-8	nircam10
9135	F444W	9709.7617	3431.5325	0.006734226629357498	0.0025811213125680873	z7-8	nircam10
9519	F444W	4432.1802	3557.2095	0.0038413720656643164	0.002142726107487033	z7-8	nircam10
9681	F444W	964.0814	3641.2505	0.011832042359437042	0.003425653717930735	z7-8	nircam10
10078	F444W	7955.6567	4618.0811	0.008162324058200452	0.0026333155478402296	z7-8	nircam10
10891	F444W	9190.5293	4621.4019	0.007617272886177498	0.0023578221383081044	z7-8	nircam10
11520	F444W	6258.7886	4432.3804	0.011303483863839996	0.0022836094909524053	z7-8	nircam10
11661	F444W	2375.1572	4124.5552	0.012501818960339542	0.002105871537588117	z7-8	nircam10
