source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
6942	4439.7749	2485.6948	0.359	30.6716	0.1852	0.010697120815103446	0.0018245325385772239	5.862937814989638	0.0036218772302809643																																																
13479	361.1071	4170.3193	0.526	29.482	0.0621	0.031997763864532236	0.0018301112925822177	17.484053562329866	0.0024849408506697123																																																
1387	4875.3428	836.3472	0.284	30.0761	0.1072	0.01851338787083177	0.0018277893184453404	10.12884126414453	0.0035126235574701077																																																
7384	4211.3809	2610.6199	0.019	99.0	99.0	-0.0004179686494224618	0.001826394051475199	-0.22884910793750332	0.002187823228605542																																																
2452	9223.1201	1258.385	0.398	31.4338	0.3742	0.00530157369324131	0.0018268591404652457	2.9020155828167247	0.0037906870877074048																																																
9645	4274.9849	3169.9573	0.346	31.8857	0.5674	0.003496486964974318	0.0018268591404652457	1.9139335307942071	0.002219209465512838																																																
9352	3111.8049	3080.0813	0.36	30.134	0.1129	0.017552342790601944	0.0018245325385772239	9.620186222762197	0.0030492765588006174																																																
11976	3678.7495	3699.595	0.376	30.804	0.2094	0.009468933015354106	0.0018259289624851514	5.18581675952309	0.0028134664213307703																																																
14880	5327.2773	4634.3467	0.019	34.0732	4.2561	0.0004662627034312663	0.0018273242294552933	0.25516145187340644	0.0027528988147105045																																																
782	7873.1914	624.085	0.877	28.5385	0.026	0.07629629852060632	0.001824997627567271	41.80624531677314	0.004098488535357098																																																
16702	10002.4287	5435.9038	0.856	28.3608	0.0221	0.08986412443682447	0.001824997627567271	49.24068014083596	0.002566114331644227																																																
1902	5374.3477	1047.9669	0.059	29.7092	0.0764	0.025955494304880495	0.0018268591404652457	14.207715159840083	0.0035179233472399456																																																
8377	7330.4883	2825.8198	0.351	34.8757	8.9012	0.00022265984996596523	0.001824997627567271	0.12200555584435016	0.002903270422747505																																																
1925	688.8172	1070.7285	0.347	99.0	99.0	-0.005674853885265619	0.001826394051475199	-3.1071355497911175	0.0030180211482122364																																																
1792	9055.6035	1020.2809	0.396	30.1023	0.1096	0.01807217807669149	0.00182406629264939	9.907632277137422	0.0039602995105577745																																																
9607	2553.4521	3159.2068	0.349	99.0	99.0	-0.0003380374374877016	0.001826394051475199	-0.18508461370352416	0.003020230778141649																																																
10957	2543.5383	3472.9983	0.356	99.0	99.0	-0.003992588829318027	0.0018254627165573182	-2.187165365309537	0.0026883294297400757																																																
2507	7454.8257	1278.1591	0.019	99.0	99.0	-0.0025224841815391945	0.0018277893184453404	-1.3800738170878137	0.003201494949560622																																																
12683	664.035	3879.582	0.352	32.7903	1.3051	0.0015198217352646467	0.001826394051475199	0.832143388792287	0.002755656497941581																																																
4633	7041.5693	1849.1655	0.356	30.9113	0.2313	0.008578075879798884	0.0018268591404652457	4.695532178586198	0.002904070776481042																																																
17140	2269.7668	5818.8301	0.347	32.4132	0.9223	0.0021510354220304192	0.0018268591404652457	1.177450069567277	0.0024422935781471646																																																
13160	7062.2676	4031.0674	0.347	33.9535	3.8128	0.0005206143679947674	0.0018277893184453404	0.2848328101827324	0.002611449309702752																																																
1708	1301.1656	992.3172	0.499	31.1105	0.2776	0.007140388628789014	0.0018254627165573182	3.9115499670435536	0.004014685359412318																																																
1212	911.5276	773.131	0.413	32.2459	0.7912	0.0025094373941243636	0.0018282532504976013	1.3725874101092737	0.0037941496666762256																																																
2694	10682.1025	1332.3486	0.342	99.0	99.0	-0.0028295852183180346	0.0018282532504976013	-1.5476987214697404	0.003570621785285402																																																
15043	10693.3604	4776.2319	0.045	29.6083	0.0697	0.02848420165477159	0.0018273242294552933	15.58792971472963	0.0019247482769449273																																																
7048	2278.3755	2530.1938	0.347	34.7758	8.123	0.00024411676522992547	0.0018259289624851514	0.13369455780890527	0.0031073043482401936																																																
1071	10612.6914	709.7489	0.36	30.7957	0.208	0.009541923063346858	0.0018273242294552933	5.221800767229584	0.004155403595015818																																																
5355	3983.3665	2059.2075	0.347	31.3701	0.3528	0.005621790933702152	0.001826394051475199	3.0780821527322475	0.0022546717983013957																																																
2459	9086.7246	1253.4152	0.355	30.5589	0.1671	0.011867671131282738	0.001826394051475199	6.497870008773346	0.0037722336579000455																																																
3509	5108.6338	1587.9523	0.362																									30.4667	0.0931	0.0221624569653432	0.0018992991282761218	11.668755403188499	0.003200141893350173																								
3374	2925.6243	1560.8615	0.351																									99.0	99.0	-0.0036884178090833874	0.0018983323684928217	-1.942977884326864	0.0029757228337464903																								
5370	1234.0194	2064.0845	0.347																									99.0	99.0	-0.0011727377695997347	0.001896397261145834	-0.6184030074432545	0.002446809998834853																								
