NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
11961,4225.5752,3710.6201,215.1117864,52.9676518,1.0,F444W,0.1614924,2.039327e-05,7918.906580455218,0.0,0.0,0.0,7918.906580455218,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F606W,0.001401346,0.01104605,0.12686399210577537,-0.0010183604723202054,0.0032937869214500746,-0.3091761843148848,0.4360401764206602,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F814W,0.02744102,0.006739855,4.071455543183051,0.0,0.0,0.0,4.071455543183051,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F115W,0.06618491,0.01489573,4.443213592083101,0.0,0.0,0.0,4.443213592083101,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F150W,0.318242,6.76825e-05,4701.983526022236,0.0,0.0,0.0,4701.983526022236,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F200W,0.137731,4.802531e-05,2867.883622198378,0.0,0.0,0.0,2867.883622198378,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F277W,0.112285,3.528007e-05,3182.6750910641617,0.0,0.0,0.0,3182.6750910641617,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F356W,0.1698582,0.0132927,12.77830689024803,0.0,0.0,0.0,12.77830689024803,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F410M,0.1086129,4.909937e-05,2212.103739823953,0.0,0.0,0.0,2212.103739823953,
14307,10159.4375,4423.291,215.0509854,52.9339109,1.0,F444W,0.06914937,2.921746e-05,2366.713944333286,0.0,0.0,0.0,2366.713944333286,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F606W,0.04113526,0.008296332,4.958246608260132,0.014569456373987408,0.0033316218734963056,4.373082218570554,0.5851643896895782,1.1338105163458037
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F814W,-0.002402925,0.005062087,-0.4746905772263496,0.0,0.0,0.0,-0.4746905772263496,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F115W,-0.03668057,0.0111877,-3.2786515548325394,0.0,0.0,0.0,-3.2786515548325394,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F150W,-0.0003054241,5.083413e-05,-6.0082487887566876,0.0,0.0,0.0,-6.0082487887566876,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F200W,0.0006601352,3.607026e-05,18.301370713712625,0.0,0.0,0.0,18.301370713712625,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F277W,0.08397487,2.649772e-05,3169.135684126785,0.0,0.0,0.0,3169.135684126785,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F356W,0.04586403,0.009983714,4.59388460046031,0.0,0.0,0.0,4.59388460046031,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F410M,0.07802209,3.687695e-05,2115.7414048613023,0.0,0.0,0.0,2115.7414048613023,
3432,2887.1448,1538.1992,215.1466649,52.9643601,0.019,F444W,0.2751363,2.194429e-05,12537.944950599905,0.0,0.0,0.0,12537.944950599905,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F606W,-0.01169646,0.0151125,-0.7739593052109182,-0.0005513199596152852,0.0025284949997316252,-0.21804273280105455,-0.5559165724098636,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F814W,-0.0222311,0.009221035,-2.4109115733754396,0.0,0.0,0.0,-2.4109115733754396,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F115W,-0.006116219,0.02037937,-0.3001181587065743,0.0,0.0,0.0,-0.3001181587065743,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F150W,0.003419371,9.259883e-05,36.9267192684832,0.0,0.0,0.0,36.9267192684832,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F200W,0.03899589,6.570514e-05,593.4983168744484,0.0,0.0,0.0,593.4983168744484,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F277W,0.03339999,4.826792e-05,691.9707747920357,0.0,0.0,0.0,691.9707747920357,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F356W,-0.0784624,0.01818621,-4.314389859129527,0.0,0.0,0.0,-4.314389859129527,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F410M,0.5320539,6.71746e-05,7920.462496241138,0.0,0.0,0.0,7920.462496241138,
7023,6536.4971,2463.1521,215.1041314,52.946259,1.0,F444W,0.136071,3.997344e-05,3404.035279425538,0.0,0.0,0.0,3404.035279425538,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F606W,-0.03752311,0.008105586,-4.629290220349275,-0.0024733525045731904,0.0026845067835110114,-0.9213433617546473,-3.7079468585946276,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F814W,-0.01312943,0.004945701,-2.654715681356394,0.0,0.0,0.0,-2.654715681356394,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F115W,-0.1321614,0.01093047,-12.091099467817946,0.0,0.0,0.0,-12.091099467817946,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F150W,0.0005482286,4.966537e-05,11.038447916526144,0.0,0.0,0.0,11.038447916526144,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F200W,2.263908e-05,3.524095e-05,0.6424083346220802,0.0,0.0,0.0,0.6424083346220802,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F277W,0.05876231,2.58885e-05,2269.8228943353224,0.0,0.0,0.0,2269.8228943353224,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F356W,0.06196539,0.009754173,6.3527056573632645,0.0,0.0,0.0,6.3527056573632645,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F410M,0.2114449,3.602909e-05,5868.72718683708,0.0,0.0,0.0,5868.72718683708,
8107,2291.5776,2737.248,215.1394168,52.9746273,0.387,F444W,0.08680035,2.143975e-05,4048.570995464033,0.0,0.0,0.0,4048.570995464033,
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F606W,0.06567297,0.02405806,2.729769981453201,0.0028411222019218917,0.003861743045631445,0.7357097995258592,1.9940601819273418,3.7103895900427695
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F814W,0.05781307,0.01467926,3.938418557883708,0.0,0.0,0.0,3.938418557883708,
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F115W,0.9330471,0.03244257,28.75996260468884,0.0,0.0,0.0,28.75996260468884,
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F150W,0.6973191,0.000147411,4730.441418890042,0.0,0.0,0.0,4730.441418890042,
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F200W,0.6763391,0.0001045981,6466.074431562332,0.0,0.0,0.0,6466.074431562332,
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F277W,0.6517621,7.683923e-05,8482.152931516883,0.0,0.0,0.0,8482.152931516883,
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F356W,0.7549379,0.02895121,26.07621235865444,0.0,0.0,0.0,26.07621235865444,
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F410M,0.2221758,0.0001069374,2077.6248534189162,0.0,0.0,0.0,2077.6248534189162,
