NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,pointing
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F606W,0.09554636,0.02029775,4.707238979689867,0.002783813288683117,0.00201542295953883,1.3812551234010504,3.3259838562888167,3.4079431814879215,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F814W,0.06487075,0.01635934,3.9653647396533116,0.0,0.0,0.0,3.9653647396533116,,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F115W,-0.2181585,0.0385652,-5.656874591600718,0.0,0.0,0.0,-5.656874591600718,,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F150W,0.2169252,0.04570227,4.746486334267423,0.0,0.0,0.0,4.746486334267423,,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F200W,0.6503842,0.03627544,17.929050619372227,0.0,0.0,0.0,17.929050619372227,,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F277W,-0.0003305576,0.03013363,-0.010969723860019518,0.0,0.0,0.0,-0.010969723860019518,,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F356W,0.0004620405,0.03171582,0.01456813981161452,0.0,0.0,0.0,0.01456813981161452,,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F410M,1.127207,0.07004578,16.092432691876656,0.0,0.0,0.0,16.092432691876656,,nircam1
5209,10389.9688,2113.4739,214.9407793,52.9437639,0.64,F444W,0.3373108,0.05607747,6.015085915965896,0.0,0.0,0.0,6.015085915965896,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F606W,2.734937,0.05064679,54.0002041590395,0.09652104033414378,0.002425502238716191,39.79424912228983,14.205955036749671,1.3569851259938093,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F814W,2.501385,0.04081972,61.27883777742719,0.0,0.0,0.0,61.27883777742719,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F115W,24.4005,0.09622762,253.57064842713558,0.0,0.0,0.0,253.57064842713558,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F150W,26.70816,0.114036,234.20814479638008,0.0,0.0,0.0,234.20814479638008,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F200W,28.7591,0.09051423,317.73015138061714,0.0,0.0,0.0,317.73015138061714,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F277W,26.56906,0.07518922,353.36262299303013,0.0,0.0,0.0,353.36262299303013,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F356W,18.25569,0.07913709,230.68437315549514,0.0,0.0,0.0,230.68437315549514,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F410M,13.82101,0.1747777,79.07765121065215,0.0,0.0,0.0,79.07765121065215,,nircam1
276,1351.8549,273.7757,215.0412597,52.9911502,0.001,F444W,13.25945,0.1399241,94.76173153874136,0.0,0.0,0.0,94.76173153874136,,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F606W,-0.006771977,0.03492423,-0.1939048334064917,0.0007790810953618848,0.0035782660830003866,0.2177258698181056,-0.41163070322459727,-0.8905916121427616,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F814W,0.1753834,0.02814782,6.23079869062684,0.0,0.0,0.0,6.23079869062684,,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F115W,1.099318,0.06635514,16.56718680723151,0.0,0.0,0.0,16.56718680723151,,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F150W,2.051037,0.07863516,26.082950680077463,0.0,0.0,0.0,26.082950680077463,,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F200W,1.166476,0.06241539,18.688916307340225,0.0,0.0,0.0,18.688916307340225,,nircam1
