NUMBER,FILTER,SEX_SNR,NMAD_SNR,SNR_DIFF,SNR_RATIO
276,F606W,54.0002041590395,39.79424912228983,14.205955036749671,1.3569851259938093
276,F814W,61.27883777742719,0.0,61.27883777742719,
354,F115W,35.01950982649119,18.931110442521227,16.08839938396996,1.8498391804758456
354,F150W,75.64702692387495,0.0,75.64702692387495,
354,F200W,67.15170015029999,0.0,67.15170015029999,
354,F277W,34.750369023149545,0.0,34.750369023149545,
354,F356W,23.151796646291622,0.0,23.151796646291622,
354,F410M,10.875765035988724,0.0,10.875765035988724,
354,F444W,-6.383509867298522,0.0,-6.383509867298522,
354,F606W,17.89830640546073,0.0,17.89830640546073,
354,F814W,12.288532120133091,0.0,12.288532120133091,
415,F115W,2.505781469363563,0.0,2.505781469363563,
415,F150W,-1.1971849886267907,0.0,-1.1971849886267907,
415,F200W,1.1916392052280427,0.0,1.1916392052280427,
415,F277W,7.8302373803401,0.0,7.8302373803401,
415,F356W,8.552332662830498,0.0,8.552332662830498,
415,F410M,6.852671250599498,0.0,6.852671250599498,
415,F444W,5.610739470869844,0.0,5.610739470869844,
415,F606W,-1.4432134224370823,-0.1822973525274586,-1.2609160699096238,
415,F814W,-1.6602800626281784,0.0,-1.6602800626281784,
495,F115W,1.206558481583174,0.0,1.206558481583174,
495,F150W,-7.0939742133146835,0.0,-7.0939742133146835,
495,F200W,19.260063117203206,0.0,19.260063117203206,
495,F277W,17.54922307548748,0.0,17.54922307548748,
495,F356W,11.98738254078578,0.0,11.98738254078578,
495,F410M,15.940431934636399,0.0,15.940431934636399,
495,F444W,11.371164901219291,0.0,11.371164901219291,
495,F606W,2.666893990151406,4.0316704994765535,-1.3647765093251474,0.6614860987517851
495,F814W,0.36577542376477973,0.0,0.36577542376477973,
512,F115W,3.3094465860363673,0.0,3.3094465860363673,
512,F150W,-1.875765202647017,0.0,-1.875765202647017,
512,F200W,4.697159165807422,0.0,4.697159165807422,
512,F277W,5.60841376461893,0.0,5.60841376461893,
512,F356W,1.1854360134146058,0.0,1.1854360134146058,
512,F410M,12.90333614197447,0.0,12.90333614197447,
512,F444W,0.00805044277455702,0.0011032468116482462,0.006947195962908774,7.297046036806299
512,F606W,-0.7128817180357284,0.0,-0.7128817180357284,
512,F814W,4.382004610762918,0.0,4.382004610762918,
568,F115W,6.552353335967395,0.0,6.552353335967395,
568,F150W,5.290286890019023,0.0,5.290286890019023,
568,F200W,-1.481830536781812,0.0,-1.481830536781812,
568,F277W,-5.424215897391938,0.0,-5.424215897391938,
568,F356W,15.680431801335844,0.0,15.680431801335844,
568,F410M,18.998925358012226,0.0,18.998925358012226,
568,F444W,11.805879472329398,6.744188668524546,5.061690803804852,1.7505262756701938
568,F606W,-3.2166945393171478,0.0,-3.2166945393171478,
568,F814W,1.510333773260659,0.0,1.510333773260659,
575,F115W,112.65112617007959,0.0,112.65112617007959,
575,F150W,110.97654879166483,0.0,110.97654879166483,
575,F200W,175.01116055459372,0.0,175.01116055459372,
575,F277W,211.06155172458338,0.0,211.06155172458338,
575,F356W,207.63619938678667,0.0,207.63619938678667,
575,F410M,94.62733305866696,0.0,94.62733305866696,
575,F444W,91.20950573861532,0.0,91.20950573861532,
575,F606W,20.750055490149347,0.0,20.750055490149347,
575,F814W,21.715718173260363,9.717463529283638,11.998254643976725,2.2347105402371628
