NUMBER,X_IMAGE,Y_IMAGE,MAG_AUTO,MAGERR_AUTO,MAG_APER,MAGERR_APER,CLASS_STAR,FLUX_AUTO,FLUXERR_AUTO,FLUX_APER,FLUXERR_APER,ALPHA_J2000,DELTA_J2000,SNR,pointing
9926,6955.416,3711.1877,30.2953,0.1076,29.9684,0.1209,0.63,0.1307658,0.01295119,0.1767013,0.01966655,214.7741192,52.8470512,10.09681735809605,nircam3
10071,187.557,3763.8301,28.0957,0.048,28.8103,0.0417,0.0,0.9916118,0.04386343,0.5134475,0.01969162,214.833974,52.890359,22.60680024339182,nircam3
10085,8390.4502,3758.4578,29.552,0.0868,29.8557,0.1091,0.706,0.2593139,0.02071714,0.1960341,0.01969663,214.7608278,52.8381791,12.516877329592791,nircam3
10137,8213.2236,3770.5435,30.0464,0.0928,29.8311,0.1066,0.083,0.1644482,0.01404754,0.2005182,0.0196816,214.7622803,52.8393714,11.706547908032295,nircam3
10174,8110.894,3783.3743,30.4918,0.1433,30.4363,0.186,0.209,0.1091143,0.01439444,0.1148402,0.01966655,214.7630574,52.8400913,7.58030878589233,nircam3
10244,6901.4258,3956.4729,30.0297,0.1226,29.828,0.1063,0.314,0.16701,0.01884675,0.2011015,0.0196816,214.7720177,52.8487155,8.861474790083172,nircam3
10265,7314.9785,4000.5,29.9834,0.1017,29.8713,0.1105,0.102,0.1742825,0.01632177,0.1932438,0.01966655,214.7678666,52.8463225,10.677916672027605,nircam3
10370,8156.9434,3891.071,29.257,0.063,29.2171,0.0606,0.079,0.3402517,0.01974167,0.352985,0.01968661,214.7615129,52.8403783,17.235203506086364,nircam3
10423,8756.5439,3999.7727,28.2819,0.0445,28.9231,0.0462,0.002,0.8353205,0.03419357,0.462793,0.0196816,214.755024,52.8371498,24.42916899288375,nircam3
10443,8218.5215,3878.54,28.2573,0.037,28.8542,0.0434,0.263,0.8544689,0.0291296,0.4931097,0.01969162,214.7610959,52.8399192,29.33335507524992,nircam3
10567,7347.022,4343.1387,28.5706,0.0624,29.1179,0.0553,0.008,0.6402629,0.03676593,0.3867615,0.01967659,214.7639727,52.8479637,17.414571044442503,nircam3
10579,7223.8379,4669.9922,30.0788,0.0756,30.3141,0.1664,0.793,0.1596195,0.01110556,0.1285219,0.01968661,214.7616287,52.8505071,14.372935718685055,nircam3
10657,2727.3596,4448.4043,29.7503,0.1133,29.8232,0.1058,0.458,0.2160089,0.02254181,0.2019901,0.01968661,214.8040796,52.8779055,9.582588975774351,nircam3
10662,8909.4072,4650.1411,29.279,0.0779,29.2608,0.063,0.452,0.333433,0.0239221,0.3390651,0.01967659,214.746813,52.8396785,13.938283010270835,nircam3
10670,5954.145,4530.1987,30.322,0.1337,30.4281,0.1845,0.507,0.1275889,0.01570563,0.1157109,0.01966154,214.7744237,52.8578294,8.123768355678823,nircam3
10707,2245.7512,4501.2559,28.3284,0.0523,28.5856,0.0339,0.356,0.8002829,0.03853483,0.6314756,0.01969162,214.8078229,52.8812518,20.76778073239197,nircam3
10753,8906.3057,4649.3599,29.4915,0.0709,29.4065,0.0721,0.737,0.2741507,0.01790717,0.2965007,0.01968661,214.7468489,52.8396941,15.309549191748335,nircam3
10759,8543.9395,4661.4438,30.2306,0.0886,29.946,0.1185,0.684,0.1387915,0.01132549,0.1803841,0.01968661,214.749951,52.8420642,12.25478985898182,nircam3
10797,7322.7944,4648.5688,30.3097,0.0953,31.4743,0.4842,0.1,0.1290375,0.01132549,0.0441458,0.0196816,214.760972,52.8497624,11.393546769278856,nircam3
10803,6685.5015,4669.0352,30.0996,0.0755,29.8762,0.1111,0.6,0.1565931,0.01088118,0.192374,0.01967659,214.7664389,52.8539258,14.391187352842246,nircam3
10828,3597.738,4082.2366,29.594,0.0443,29.3319,0.0673,0.761,0.2494728,0.01017841,0.317571,0.01968661,214.8001667,52.8703994,24.509997141007286,nircam3
10930,6858.4385,4669.4282,29.4366,0.0659,29.3778,0.0702,0.732,0.2883779,0.01748905,0.3044373,0.01968661,214.7648927,52.8528281,16.48905457986569,nircam3
10977,6958.5669,4669.5342,29.5925,0.0842,29.645,0.0898,0.637,0.2498055,0.0193632,0.2380095,0.0196816,214.7639987,52.8521918,12.901044248884482,nircam3
11016,9963.543,4653.4521,29.4042,0.0717,29.5012,0.0787,0.695,0.2971055,0.01961632,0.2717359,0.01969663,214.7373856,52.8329902,15.145832653627185,nircam3
11028,4391.3506,4565.4126,29.0854,0.0551,29.1166,0.0552,0.637,0.3985137,0.02023528,0.3872408,0.01969663,214.787995,52.8679566,19.694004728375393,nircam3
