ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
5125.0	2983.5908	2121.3533	27.9747	0.0511	28.1703	0.0282	0.001	1.108479	0.05215783	0.9257035	0.02403363	214.8785121	52.845316	5113.0	2983.5908	2121.3533	27.9747	0.0511	28.1703	0.0282	0.001	1.108479	0.05215783	0.9257035	0.02403363	214.8785121	52.845316
5126.0	2355.033	2114.5107	99.0	99.0	99.0	99.0	0.019	-2.435665e-05	0.03079736	-1.480547e-05	0.02401527	214.8841989	52.8492713	5115.0	2355.033	2114.5107	99.0	99.0	99.0	99.0	0.019	-2.435666e-05	0.03079736	-1.480547e-05	0.02401527	214.8841989	52.8492713
5127.0	1123.3049	2125.4346	27.6358	0.0195	27.6579	0.0176	0.57	1.514594	0.0272508	1.483981	0.02402751	214.8950898	52.8571526	5116.0	1123.3049	2125.4346	27.6358	0.0195	27.6579	0.0176	0.57	1.514594	0.0272508	1.483981	0.02402751	214.8950898	52.8571526
5128.0	1781.5071	2148.2822	27.5682	0.0364	28.2625	0.0307	0.0	1.611901	0.05409538	0.8503484	0.02407642	214.8889678	52.8530959	5122.0	1781.5071	2148.2822	27.708	0.0365	28.285	0.0314	0.0	1.417062	0.04758762	0.8329123	0.02407642	214.8889678	52.8530959
5129.0	3376.1067	2154.675	26.3774	0.0177	27.5333	0.0157	0.0	4.826612	0.07886855	1.664561	0.02407642	214.874656	52.8430026	5114.0	3376.1067	2154.675	26.3774	0.0177	27.5333	0.0157	0.0	4.826612	0.07886855	1.664561	0.02407642	214.874656	52.8430026
5130.0	7158.7939	2115.3896	99.0	99.0	99.0	99.0	0.019	-0.01962893	0.01757289	-0.1005775	0.02398463	214.8413047	52.818759	5120.0	7158.7939	2115.3896	99.0	99.0	99.0	99.0	0.019	-0.01962893	0.01757289	-0.1005775	0.02398463	214.8413047	52.818759
5131.0	7169.7974	2129.9485	27.7589	0.0442	28.485	0.0377	0.0	1.352215	0.05503858	0.6927787	0.02402751	214.8410535	52.8187676	5119.0	7169.7974	2129.9485	27.7969	0.044	28.485	0.0377	0.0	1.305661	0.05292747	0.6927787	0.02402751	214.8410535	52.8187676
5132.0	9070.4453	2196.1648	26.3223	0.0229	27.835	0.0207	0.0	5.077949	0.1068917	1.260687	0.02403975	214.8234062	52.8070458	5117.0	9070.4453	2196.1648	26.3018	0.0226	27.8449	0.0209	0.0	5.174505	0.1076457	1.249265	0.02403975	214.8234062	52.8070458
5133.0	9563.4434	2115.0972	29.2044	0.0857	29.5152	0.0973	0.487	0.3571605	0.02817932	0.2682526	0.02402751	214.8198633	52.8034755	5118.0	9563.4434	2115.0972	29.2044	0.0857	29.5152	0.0973	0.487	0.3571605	0.02817932	0.2682526	0.02402751	214.8198633	52.8034755
5134.0	8997.042	2120.0	31.9174	1.1395	31.1091	0.4221	0.353	0.02935143	0.03079736	0.06179695	0.02402139	214.8248615	52.8071018	5121.0	8997.042	2120.0	31.857	0.9816	31.1091	0.4221	0.353	0.031031	0.02804856	0.06179695	0.02402139	214.8248615	52.8071018
5135.0	9567.9834	2117.551	30.715	0.2983	29.8588	0.1336	0.375	0.08884034	0.02440401	0.1954725	0.02403975	214.819797	52.8034599	5123.0	9567.9834	2117.551	30.715	0.2983	29.8588	0.1336	0.375	0.08884034	0.02440401	0.1954725	0.02403975	214.819797	52.8034599
5136.0	7948.209	2117.063	29.4323	0.1221	29.7631	0.1222	0.379	0.2895159	0.03253867	0.2134849	0.02401527	214.8342455	52.8137516	5124.0	7948.209	2117.063	29.4323	0.1221	29.7631	0.1222	0.379	0.2895159	0.03253867	0.2134849	0.02401527	214.8342455	52.8137516
5137.0	8932.0352	2125.3662	28.6297	0.0792	29.2394	0.0755	0.597	0.6063569	0.04422415	0.3458324	0.02404586	214.8253847	52.8075439	5125.0	8932.0352	2125.3662	28.6297	0.0792	29.2394	0.0755	0.597	0.6063569	0.04422415	0.3458324	0.02404586	214.8253847	52.8075439
5138.0	7332.1528	2113.354	32.488	1.046	34.0989	6.6312	0.347	0.01735395	0.01671516	0.003936019	0.02403363	214.8397796	52.8176464	5126.0	7332.1528	2113.354	32.488	1.046	34.0989	6.6312	0.347	0.01735395	0.01671516	0.003936019	0.02403363	214.8397796	52.8176464
5139.0	336.6898	2356.6389	22.8864	0.0017	27.2756	0.0124	0.029	120.2446	0.1919659	2.110394	0.02402139	214.8996887	52.8633953	5127.0	336.6898	2356.6389	22.8864	0.0017	27.2756	0.0124	0.029	120.2446	0.1919659	2.110394	0.02402139	214.8996887	52.8633953
