ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
1160.0	9604.7959	640.2267	27.4844	0.0053	27.1355	0.0109	0.992	1.74114	0.008574694	2.401067	0.02401527	214.8349978	52.7952629	1319.0	9604.7705	640.2329	27.5087	0.0052	27.1315	0.0109	0.958	1.702587	0.008221565	2.409943	0.02429036	214.834998	52.7952631
1177.0	9847.3818	762.7366	23.5363	0.0018	24.5919	0.001	0.029	66.08	0.1075774	24.99486	0.02401527	214.8315476	52.7943817	1327.0	9847.3867	762.7405	23.5291	0.0018	24.5913	0.0011	0.029	66.51965	0.1098604	25.00927	0.02427799	214.8315475	52.7943817
1198.0	6863.647	655.2926	34.1855	3.5321	99.0	99.0	0.019	0.003634039	0.0118194	-0.01631469	0.02403363	214.8592876	52.8127612	1360.0	6863.6338	655.2927	99.0	99.0	99.0	99.0	0.019	-0.0005357404	0.009089282	-0.01294764	0.02426561	214.8592877	52.8127613
1218.0	7654.9443	799.6391	22.901	0.0008	23.4243	0.0004	0.031	118.634	0.08906957	73.26174	0.02402751	214.8507109	52.8085122	1352.0	7654.9546	799.632	22.9012	0.0008	23.4242	0.0004	0.031	118.6085	0.09101668	73.27168	0.02430273	214.8507108	52.8085121
1338.0	8225.6465	743.1469	36.4271	121.5181	99.0	99.0	0.055	0.0004610645	0.05159088	-9.892242e-06	0.02403975	214.8462142	52.8045815	1523.0	8225.6797	743.1509	99.0	99.0	99.0	99.0	0.001	-0.001108718	0.05075517	-0.0003659971	0.02428418	214.8462138	52.8045813
1448.0	10051.5381	770.0969	27.9663	0.0065	27.0586	0.0101	0.943	1.11708	0.00664193	2.577353	0.02405809	214.8296503	52.793124	1627.0	10051.5518	770.0979	27.9728	0.0066	27.0964	0.0106	0.943	1.110373	0.00671288	2.489125	0.02429654	214.8296502	52.7931239
1459.0	6839.4438	778.1486	99.0	99.0	32.0991	1.0515	0.347	-0.0112664	0.01355778	0.02482856	0.02403975	214.8582122	52.8135775	1642.0	6839.4399	778.1498	99.0	99.0	31.4944	0.6087	0.347	-0.006661413	0.01285419	0.04333577	0.02429036	214.8582122	52.8135775
1599.0	6820.4805	849.7932	29.0025	0.0691	29.033	0.0623	0.001	0.4301364	0.02738538	0.4182151	0.02400302	214.8576283	52.8140843	1805.0	6820.4863	849.7986	28.9668	0.0727	29.0081	0.0616	0.0	0.4445321	0.02976969	0.4279108	0.02425942	214.8576282	52.8140843
1693.0	4463.7397	882.3856	31.1356	0.3049	30.5556	0.2535	0.347	0.06030582	0.01693366	0.1028909	0.02401527	214.878321	52.829231	1911.0	4463.7124	882.3867	32.2828	0.7512	31.2667	0.4931	0.346	0.02096531	0.01450148	0.05344578	0.02426561	214.8783212	52.8292311
1766.0	6953.9609	1026.2805	22.4874	0.0007	23.3599	0.0003	0.029	173.6412	0.1059591	77.73921	0.02401527	214.8545822	52.814188	2013.0	6953.9878	1026.2819	22.4876	0.0007	23.3607	0.0003	0.029	173.6094	0.1088991	77.68531	0.02427799	214.8545819	52.8141879
