X_IMAGE	Y_IMAGE	My_ID
1460.6891	182.0023	140
3580.7808	179.2637	141
2110.4026	176.5096	142
2648.5159	185.546	143
1845.7002	184.6129	144
3782.5889	182.3342	145
2603.2947	185.7942	146
2780.5186	188.8215	147
2848.5972	180.731	148
1975.3955	180.7505	149
1458.6709	204.0636	150
1973.795	187.4163	151
1733.1345	184.745	152
1661.2303	182.4053	153
3165.9487	179.653	154
1763.8073	182.9924	155
701.3242	182.9905	156
2610.6938	203.1737	157
3696.9785	184.2556	158
3050.188	183.8128	159
3369.3909	186.7653	160
1981.6349	184.7834	161
2313.7056	193.7089	162
3539.6353	185.8362	163
2976.9048	186.1576	164
1384.5286	186.0605	165
752.3623	186.1436	166
3274.4353	194.0726	167
3139.9924	194.6362	168
2658.7029	184.5552	169
2097.8298	199.489	170
4296.0107	195.4389	171
3813.009	195.1442	172
2054.668	194.9288	173
6071.6802	773.0031	174
3029.1882	186.4005	175
4371.5522	189.286	176
855.1035	240.0881	177
3381.7871	189.7061	178
2923.481	190.0056	179
8702.8369	323.3841	180
3771.6462	204.0149	181
3307.688	209.1002	182
4441.6309	193.1384	183
2004.1165	188.3858	184
1715.4993	197.0531	185
3715.6584	192.1587	186
2280.3804	192.1335	187
2074.1677	192.7986	188
2440.4556	190.1613	189
1762.2301	227.3036	190
6920.4473	270.2339	191
3452.0117	196.1794	192
2277.4146	229.8089	193
2992.8618	194.768	194
1805.4396	195.2173	195
2529.5901	212.4358	196
1761.0697	211.4932	197
4223.417	196.2908	198
2468.3298	212.261	199
4251.54	205.1807	200
2656.9863	194.5092	201
4427.3286	277.9606	202
4337.104	202.3088	203
2917.0034	197.9636	204
1593.4453	266.334	205
3214.7966	198.814	206
2874.1318	198.9952	207
1245.1195	209.1965	208
3804.1704	207.2643	209
2587.6531	205.4621	210
1960.6138	199.7832	211
2677.2939	201.8117	212
9624.7295	288.938	213
1470.6119	208.7875	214
1219.2369	1077.1176	215
1240.86	274.4568	216
2123.8481	207.3058	217
3200.9807	205.1912	218
2661.7874	202.7526	219
2174.188	200.3366	220
3460.1665	230.4228	221
2980.5569	229.5351	222
2638.5693	204.783	223
2785.7393	208.7363	224
2879.9954	209.7209	225
2688.2134	204.5384	226
3073.6711	213.0745	227
2276.4019	314.6971	228
4142.1631	236.7905	229
6914.4497	244.8924	230
941.332	215.0926	231
3118.6836	214.9283	232
3768.3845	218.0166	233
610.0439	278.2387	234
1270.4993	219.2961	235
1585.4946	216.5266	236
2486.6008	216.2917	237
8310.3516	255.2181	238
3284.7712	222.394	239
4451.2466	221.4079	240
2821.6907	217.4814	241
3496.604	234.3296	242
2392.1885	264.9736	243
6780.9644	240.2518	244
2897.8328	230.6316	245
1954.3722	222.975	246
2498.7097	226.6379	247
4401.8774	223.9319	248
2903.908	230.1254	249
4413.9585	364.9877	250
2006.0154	273.2184	251
1576.9633	273.0518	252
2246.7075	271.3555	253
3768.0403	235.4258	254
806.1793	1140.449	255
913.8566	268.2978	256
3396.2859	257.9577	257
10214.8896	333.2765	258
2857.4927	244.8555	259
1907.2489	231.7489	260
8851.1572	534.33	261
3210.5425	232.9899	262
3013.1543	276.7743	263
4421.1216	239.8272	264
1538.0481	784.0502	265
3624.4641	242.7675	266
4376.4141	248.3514	267
6991.3486	274.6785	268
10163.6846	252.2991	269
3084.7883	237.4346	270
3783.5974	267.3816	271
1388.4747	291.1689	272
1926.8098	242.8109	273
1313.5626	304.7749	274
7702.3589	246.0672	275
6064.9487	253.3223	276
6173.106	245.2225	277
2098.3503	247.3344	278
10288.0088	251.1102	279
4076.3391	252.655	280
4159.4072	326.1571	281
6797.7515	281.6755	282
1918.3674	371.011	283
9501.6807	339.4404	284
7622.0815	284.1088	285
6276.2979	275.9213	286
9225.3428	253.3638	287
6095.519	253.1053	288
10296.4932	250.4952	289
6056.9375	255.1912	290
7562.1499	255.0245	291
6126.5635	255.2353	292
8729.0938	285.5485	293
3020.9277	275.4543	294
7002.6343	273.3344	295
4315.2266	251.1702	296
6118.2764	253.4096	297
1567.1282	269.0173	298
6051.5479	252.1385	299
8298.1318	426.679	300
7167.1016	288.9594	301
6238.96	268.9444	302
6104.3115	253.3232	303
6091.5063	252.7895	304
9871.7529	252.875	305
7566.9507	252.931	306
6107.6753	253.3151	307
2026.1331	401.1262	308
6467.23	274.2828	309
8663.7031	251.391	310
6130.7534	253.7039	311
1774.0703	527.6382	312
6099.1196	255.4845	313
2923.0068	345.9298	314
6076.5552	257.2609	315
3858.1079	276.8802	316
6201.8579	270.092	317
4001.4609	296.9481	318
8463.6572	262.2139	319
4272.3496	259.7049	320
4038.4565	411.1623	321
7143.8574	263.7159	322
4297.209	258.452	323
1391.4663	269.2386	324
9081.0635	282.1493	325
6598.3354	261.668	326
9866.8633	268.667	327
2055.489	263.1032	328
2638.634	265.1175	329
7807.52	266.0638	330
6224.6069	263.8142	331
6839.4336	272.631	332
2145.9314	269.8078	333
7035.0962	276.9497	334
6355.9258	277.2647	335
6826.4917	274.0009	336
7277.8813	285.2478	337
6872.6328	269.0786	338
6130.7368	284.099	339
1630.3271	281.0013	340
3050.395	280.5959	341
7007.584	268.195	342
4503.3999	265.1843	343
7792.0762	278.7755	344
756.8151	284.238	345
6228.667	271.0905	346
8753.5742	285.12	347
7414.3999	280.2277	348
2665.1453	280.6792	349
6095.1143	275.4684	350
6852.7705	270.3683	351
8355.8457	282.8939	352
6255.7822	270.9211	353
4229.4902	268.8226	354
6075.374	281.6073	355
6396.71	274.5548	356
7080.0146	271.8331	357
7676.0825	282.5245	358
7173.2207	278.0493	359
8495.4932	302.4633	360
4298.0996	273.1677	361
6562.5737	271.6515	362
8677.8701	283.872	363
943.2527	289.9726	364
8253.4531	282.2741	365
8038.9849	279.8372	366
7088.4702	275.4896	367
3644.5286	323.8672	368
2723.6431	317.6021	369
9316.2988	283.4977	370
7864.8848	281.4545	371
7391.1943	279.0268	372
3563.6548	296.8756	373
9319.7988	291.9534	374
6123.9712	281.6009	375
8350.6582	281.1016	376
2440.1475	283.3648	377
6228.9092	276.9891	378
348.3328	326.8137	379
4334.6792	300.1461	380
7900.1934	277.8609	381
616.6029	297.2893	382
9311.3887	286.3731	383
8796.0205	283.9728	384
3852.2151	282.6205	385
8095.6626	279.2067	386
3318.0181	278.9756	387
7023.8257	287.5343	388
8228.0791	279.9807	389
7195.3643	279.5094	390
926.5403	280.2697	391
6142.8755	277.3796	392
1370.4293	334.8649	393
9322.7578	288.4102	394
6828.9263	288.689	395
6122.4624	288.1564	396
8342.1475	280.76	397
9458.2822	283.381	398
8762.4102	283.7983	399
9785.4766	280.9737	400
8388.3945	281.0551	401
7101.2788	280.8376	402
6224.188	278.6028	403
9626.2041	367.3808	404
7448.7017	280.2581	405
6081.1592	280.3478	406
3116.5784	309.2694	407
8525.3379	283.8229	408
10142.3057	281.2556	409
8535.0	291.2154	410
7787.3828	286.3599	411
8515.7373	320.1427	412
7424.356	306.6549	413
1066.5763	298.2181	414
9150.5215	289.5092	415
8912.6846	289.6988	416
6086.4268	284.6983	417
8276.7998	282.4469	418
6730.9917	289.0652	419
356.639	327.1844	420
9680.8438	309.8678	421
9812.6025	293.177	422
7637.2734	291.7688	423
7105.7466	286.3905	424
3605.4458	292.6683	425
7138.1211	305.5013	426
7521.084	296.7752	427
9812.4756	289.5229	428
3847.4495	300.662	429
6503.8574	298.4603	430
10016.3877	296.3018	431
9397.3496	290.8683	433
8565.375	300.3631	434
9901.8887	543.3416	435
10231.7881	294.1224	436
9779.2939	294.7495	437
9766.2656	294.1697	438
9225.1709	294.0703	439
3126.1406	305.5445	440
10031.8145	290.3548	441
1056.1747	311.6226	442
8167.4307	294.3772	443
8440.3896	293.7929	444
9344.5	297.5091	445
7086.314	300.09	446
10004.9326	297.3108	447
6701.6885	334.7297	448
7005.8862	303.447	449
9414.8174	298.6566	450
7524.0059	297.7851	451
842.7447	293.4057	452
2760.0203	314.3847	453
6427.5352	303.5223	454
3241.5991	296.9781	455
6711.0127	303.9122	456
8019.4243	297.7915	457
10042.4082	298.783	458
8293.9023	323.3232	459
7691.6772	305.0653	460
9161.5586	302.889	461
6349.686	299.6943	462
6836.5679	299.5945	463
8167.8086	299.7805	464
8057.7573	297.5989	465
7044.3691	303.2888	466
3565.7507	303.0263	467
9344.5391	301.4897	468
6919.8765	314.1094	469
9131.8867	385.6774	470
8713.3027	304.2596	471
6657.0142	305.5044	472
10270.4531	303.2781	473
6348.4043	302.5836	474
8090.7339	300.3694	475
7661.0859	300.7074	476
1983.6281	316.3956	477
10043.2529	308.8591	478
3001.9465	319.2752	479
6230.8589	310.4951	480
6151.0112	302.4849	481
9503.4043	347.973	482
6510.9507	315.9805	483
7076.9487	313.246	484
10226.124	303.5431	485
9519.002	329.3204	486
1989.3741	307.1618	487
3878.5684	310.6901	488
10289.002	305.5154	489
7719.249	305.3279	490
6942.2046	310.8455	491
6788.9756	355.7516	492
2445.72	309.0756	493
6048.1899	306.6233	494
7467.2197	340.8665	495
10081.2471	307.4237	496
2438.9585	309.9389	497
1324.0804	338.3302	498
659.6193	357.3452	499
1991.0627	320.2475	500
8435.1387	315.0378	501
6786.5298	378.4946	502
1028.959	313.5772	503
3010.1465	328.8224	504
9328.8975	319.198	505
1542.3232	343.3891	506
6636.604	319.9691	507
833.3494	327.1432	508
990.9124	325.0409	509
7538.4653	321.6805	510
1828.0074	387.8665	511
3013.7305	357.3046	512
6928.5513	319.8225	513
2047.3892	424.2162	514
8190.1099	330.9703	515
7454.7183	367.974	517
7099.1299	350.4411	518
10116.0146	342.7438	519
9800.6445	323.1223	520
8167.8232	327.8062	521
8772.2236	327.5692	522
8244.6162	327.2037	523
3016.8589	332.6829	524
7533.5815	324.7746	525
7928.0181	361.6609	526
663.0197	335.7906	527
9781.6865	336.561	528
7752.5425	391.1568	529
1056.7593	384.2606	530
6141.9536	334.6374	531
3541.937	332.1815	532
6205.5986	326.7669	533
10282.3623	330.1617	534
672.619	335.1076	535
6029.1299	351.7288	536
7052.6089	355.9778	537
7433.9683	335.0142	538
7743.4575	375.5649	539
8892.7012	331.0007	540
4261.6216	360.2632	541
7289.5566	337.0618	542
9362.8027	349.2809	543
1651.4667	343.1461	544
3907.1733	330.1805	545
3601.96	337.7364	546
4135.5083	361.2309	547
9197.0605	333.9066	548
7378.1167	334.1807	549
3825.5652	349.5677	550
9788.6885	342.1084	551
4033.7412	342.1597	552
2578.3467	342.4172	553
8177.7061	332.5641	554
3557.6008	339.9407	555
9127.249	358.6453	556
1317.8398	346.2223	557
8797.417	337.2899	558
3096.0012	386.6642	559
7259.5024	370.6395	560
3073.783	350.7621	561
6478.8818	345.4403	562
8033.7412	343.1165	563
7924.6963	395.9578	564
901.7872	336.5481	565
4006.2878	339.0196	566
3397.0874	349.6812	567
8633.5029	342.932	568
2291.3555	361.7347	569
1962.8861	359.0924	570
6782.8745	362.3723	571
3804.0933	350.3292	572
9221.7217	358.0283	573
6120.2383	352.7193	574
1825.7296	346.2575	575
9714.7891	390.5697	576
3456.2036	382.6159	577
7067.1758	362.5324	578
4022.0779	372.0512	579
2437.0244	347.694	580
3848.4978	428.0877	581
4160.5684	356.912	582
2450.7632	346.569	583
8154.2446	470.1023	584
3445.5649	433.0627	585
6996.2578	352.0916	586
9241.5732	652.2386	587
6317.2178	393.3882	588
9189.8428	363.9162	589
10285.5059	370.5953	590
7797.6714	364.4258	591
7036.748	408.2251	592
1842.0607	369.9891	593
6047.9155	354.8203	594
7257.8979	411.5394	595
8120.0596	381.4786	596
6573.0479	359.7764	597
3427.25	415.1634	598
4194.3521	367.3748	599
3181.5933	383.1213	600
1739.7452	371.8739	601
6257.5898	369.3333	602
8314.3477	361.5054	603
4308.0669	361.0839	604
9176.0	370.0909	605
9762.8887	390.3753	606
8151.623	377.0116	607
7819.168	376.9893	608
8900.5645	360.1956	609
2435.5542	360.4883	610
3086.9592	398.7843	611
10035.4658	360.3029	612
8742.8398	390.8426	613
6418.0889	375.6223	614
9518.2012	385.4021	615
9158.9053	373.6852	616
7153.4946	368.4735	617
1231.7627	366.0053	618
8839.1357	363.1644	619
8385.0273	411.5382	620
3760.095	372.0425	621
4031.7639	413.6885	622
2575.7112	372.2648	623
8900.1201	368.0928	624
10115.3203	387.3074	625
8207.541	372.7255	626
7340.8066	414.8832	627
8995.1514	374.5331	628
1589.8147	387.7231	629
9547.3926	379.1263	630
4092.3333	385.0732	631
2692.1494	391.0321	632
2227.9536	393.4958	633
6988.2261	387.5911	634
10292.7852	386.6898	635
