ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
2798.0	3574.7156	1341.777	27.8453	0.0534	28.8544	0.0529	0.0	1.248794	0.0614154	0.4930013	0.02401527	214.88143	52.8373559	2788.0	3574.7156	1341.777	27.857	0.0537	28.8544	0.0529	0.0	1.235349	0.06111538	0.4930013	0.02401527	214.88143	52.8373559
2800.0	7256.1216	1362.2771	26.7909	0.0306	28.9442	0.0576	0.001	3.297909	0.09302654	0.4538805	0.0240642	214.8483544	52.81408	2790.0	7256.1216	1362.2771	26.8184	0.031	28.9442	0.0576	0.001	3.215362	0.09191336	0.4538805	0.0240642	214.8483544	52.81408
2809.0	7322.8125	1338.4222	29.726	0.1417	29.9628	0.1469	0.394	0.2209142	0.02882424	0.1776118	0.02402139	214.8480102	52.8135277	2808.0	7322.8125	1338.4222	30.0636	0.1637	29.9951	0.1513	0.386	0.1618748	0.02440401	0.1724066	0.02402139	214.8480102	52.8135277
2810.0	1978.361	1358.2001	27.1821	0.0276	27.5325	0.0157	0.003	2.300314	0.05853446	1.665757	0.02402139	214.8955173	52.8475826	2799.0	1978.361	1358.2001	27.2128	0.0278	27.5313	0.0156	0.003	2.236104	0.05732874	1.667605	0.02402139	214.8955173	52.8475826
2812.0	9261.5654	1401.097	24.8031	0.0053	26.1435	0.0044	0.028	20.57578	0.09973958	5.987179	0.02402751	214.8300606	52.8015457	2802.0	9261.5654	1401.097	24.8006	0.0053	26.1436	0.0044	0.028	20.62395	0.100034	5.986599	0.02402751	214.8300606	52.8015457
2824.0	3943.4456	1349.0709	28.9888	0.0915	28.9668	0.0587	0.001	0.4355849	0.03668125	0.4444985	0.02402139	214.8780604	52.8350532	2814.0	3943.4456	1349.0709	28.9411	0.0841	29.0001	0.0605	0.002	0.4551549	0.03525023	0.4310836	0.02402139	214.8780604	52.8350532
2843.0	6961.7461	1379.8973	24.6503	0.0026	25.4529	0.0023	0.029	23.68529	0.05635864	11.30921	0.02405809	214.8507954	52.8160454	2823.0	6961.7461	1379.8973	24.6129	0.0025	25.416	0.0022	0.029	24.51661	0.05726458	11.70005	0.02405809	214.8507954	52.8160454
2845.0	1741.7299	1376.5015	27.1767	0.0337	27.5875	0.0165	0.001	2.311686	0.07168978	1.583503	0.02407031	214.8974392	52.849184	2835.0	1741.7299	1376.5015	27.1824	0.0339	27.5875	0.0165	0.001	2.299513	0.07168978	1.583503	0.02407031	214.8974392	52.849184
2850.0	3900.3608	1718.0088	21.9148	0.0008	24.4674	0.0009	0.028	294.2412	0.2036196	28.03041	0.02403363	214.874566	52.8373171	2876.0	3900.3608	1718.0088	21.9153	0.0008	24.4674	0.0009	0.028	294.0948	0.2033306	28.03041	0.02403363	214.874566	52.8373171
2857.0	4328.2544	1396.2081	26.8298	0.0237	27.5543	0.016	0.0	3.181841	0.06934378	1.632581	0.02402751	214.8741288	52.8328633	2848.0	4328.2544	1396.2081	26.8285	0.0239	27.5536	0.016	0.0	3.185722	0.07008206	1.633611	0.02402751	214.8741288	52.8328633
2859.0	4106.7339	1354.2361	30.3641	0.1874	30.2373	0.1892	0.349	0.1227398	0.02117793	0.137939	0.02402751	214.876548	52.834044	2841.0	4106.7339	1354.2361	30.3197	0.1857	30.2373	0.1892	0.35	0.1278601	0.02186127	0.137939	0.02402751	214.876548	52.834044
2872.0	7830.9858	1373.7545	27.7977	0.035	28.4642	0.037	0.0	1.304701	0.04209467	0.7062225	0.02403363	214.8431057	52.8104892	2846.0	7830.9858	1373.7545	27.7791	0.035	28.4663	0.037	0.0	1.327318	0.04278764	0.7048352	0.02403363	214.8431057	52.8104892
