pointing	ID	f606w_FLUX	f606w_FLUXERR	f606w_SNR	f814w_FLUX	f814w_FLUXERR	f814w_SNR	f115w_FLUX	f115w_FLUXERR	f115w_SNR	f150w_FLUX	f150w_FLUXERR	f150w_SNR	f200w_FLUX	f200w_FLUXERR	f200w_SNR	f277w_FLUX	f277w_FLUXERR	f277w_SNR	f356w_FLUX	f356w_FLUXERR	f356w_SNR	f410m_FLUX	f410m_FLUXERR	f410m_SNR	f444w_FLUX	f444w_FLUXERR	f444w_SNR
nircam7	11615	-1.949e-04	2.464e-02	-0.01	1.125e-02	1.503e-02	0.75	2.308e-01	3.322e-02	6.95	4.599e-01	1.510e-04	3046.85	6.335e-01	1.071e-04	5914.05	4.768e-01	7.869e-05	6058.97	8.844e-01	2.965e-02	29.83	1.624e+00	1.095e-04	14831.69	2.300e+00	6.516e-05	35295.70
nircam7	11754	2.867e-02	3.887e-02	0.74	-2.369e-02	2.372e-02	-1.00	8.836e-01	5.242e-02	16.86	2.589e+00	2.382e-04	10871.44	2.083e+00	1.690e-04	12325.68	1.577e+00	1.242e-04	12697.97	1.313e+00	4.678e-02	28.07	1.550e+00	1.728e-04	8969.64	2.551e+00	1.028e-04	24809.16
nircam7	3581	3.163e-01	3.237e-02	9.77	1.213e-01	1.975e-02	6.14	1.405e+00	4.366e-02	32.19	1.705e+00	1.984e-04	8593.10	3.459e+00	1.408e-04	24577.01	2.146e+00	1.034e-04	20753.72	1.651e+00	3.896e-02	42.38	1.818e+00	1.439e-04	12633.37	1.746e+00	8.563e-05	20391.18
nircam7	13394	-6.540e-02	2.949e-02	-2.22	1.322e-02	1.799e-02	0.73	2.739e-01	3.977e-02	6.89	6.750e-01	1.807e-04	3735.23	7.598e-01	1.282e-04	5925.69	4.558e-01	9.419e-05	4838.93	5.502e-01	3.549e-02	15.50	2.701e-01	1.311e-04	2060.07	1.598e+00	7.801e-05	20487.61
nircam7	13743	6.658e-01	1.107e-01	6.01	3.216e-01	6.757e-02	4.76	2.112e+00	1.493e-01	14.14	5.836e+00	6.786e-04	8600.06	6.598e+00	4.815e-04	13703.92	7.468e+00	3.537e-04	21112.87	7.441e+00	1.333e-01	55.83	1.076e+01	4.923e-04	21861.61	1.124e+01	2.929e-04	38387.49
nircam7	14097	2.402e-01	4.030e-02	5.96	-4.276e-02	2.459e-02	-1.74	5.642e-01	5.434e-02	10.38	2.046e+00	2.469e-04	8284.94	2.235e+00	1.752e-04	12758.14	1.836e+00	1.287e-04	14266.68	1.783e+00	4.849e-02	36.78	1.696e+00	1.791e-04	9468.75	2.140e+00	1.066e-04	20079.93
nircam7	14208	-1.794e-02	4.492e-02	-0.40	-1.075e-01	2.741e-02	-3.92	-2.867e-01	6.058e-02	-4.73	2.037e+00	2.752e-04	7400.91	1.137e+00	1.953e-04	5820.14	1.223e+00	1.435e-04	8527.14	1.583e+00	5.406e-02	29.28	1.824e+00	1.997e-04	9133.00	1.411e+00	1.188e-04	11874.59
nircam8	1398	-1.415e-01	3.222e-02	-4.39	-1.647e-02	1.952e-02	-0.84	4.023e-01	4.303e-02	9.35	1.276e+00	1.840e-04	6932.01	9.653e-01	1.410e-04	6848.42	1.245e+00	9.111e-05	13662.09	1.171e+00	3.847e-02	30.45	1.281e+00	1.258e-04	10178.43	1.807e+00	7.608e-05	23750.40
nircam8	2080	1.768e-02	3.895e-02	0.45	1.081e-01	2.360e-02	4.58	1.541e-01	5.202e-02	2.96	1.480e+00	2.225e-04	6650.58	1.439e+00	1.704e-04	8442.99	1.235e+00	1.102e-04	11211.36	1.153e+00	4.651e-02	24.80	1.379e+00	1.521e-04	9067.11	2.039e+00	9.198e-05	22167.16
nircam8	2288	1.110e-01	2.986e-02	3.72	3.716e-02	1.809e-02	2.05	4.860e-01	3.988e-02	12.19	9.291e-01	1.706e-04	5446.98	9.789e-01	1.307e-04	7492.14	6.377e-01	8.446e-05	7550.32	4.401e-01	3.566e-02	12.34	5.334e-01	1.166e-04	4573.28	7.030e-01	7.052e-05	9968.43
nircam8	4493	5.867e-01	5.574e-02	10.53	2.273e-01	3.377e-02	6.73	2.204e+00	7.445e-02	29.61	4.431e+00	3.184e-04	13916.76	3.302e+00	2.439e-04	13540.38	3.884e+00	1.576e-04	24637.53	2.480e+00	6.656e-02	37.26	3.907e+00	2.177e-04	17946.28	2.810e+00	1.316e-04	21347.74
nircam8	6986	1.594e-02	3.256e-02	0.49	5.000e-02	1.973e-02	2.53	5.824e-01	4.348e-02	13.39	1.976e+00	1.860e-04	10627.56	9.588e-01	1.425e-04	6730.72	8.733e-01	9.208e-05	9484.50	1.030e+00	3.888e-02	26.49	9.976e-01	1.272e-04	7845.87	9.556e-01	7.689e-05	12428.56
