combo_index,num_sources,veto_snr,star_cut,color1_min,color2_max,color2_min,color3_intercept,color3_slope,snr_threshold,recovered_ids
72,10,2,0.8,0.2,0.5,-1.0,0.65,0.6,4,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
73,10,2,0.8,0.2,0.5,-1.0,0.65,0.6,5,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
74,10,2,0.8,0.2,0.5,-1.0,0.65,0.6,6,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
75,7,2,0.8,0.2,0.5,-1.0,1.0,0.3,2,"4010,11659,12779,1424,8216,9562,5726"
76,7,2,0.8,0.2,0.5,-1.0,1.0,0.3,3,"4010,11659,12779,1424,8216,9562,5726"
77,7,2,0.8,0.2,0.5,-1.0,1.0,0.3,4,"4010,11659,12779,1424,8216,9562,5726"
78,7,2,0.8,0.2,0.5,-1.0,1.0,0.3,5,"4010,11659,12779,1424,8216,9562,5726"
79,7,2,0.8,0.2,0.5,-1.0,1.0,0.3,6,"4010,11659,12779,1424,8216,9562,5726"
80,7,2,0.8,0.2,0.5,-1.0,1.0,0.44,2,"4010,11659,12779,1424,8216,9562,5726"
81,7,2,0.8,0.2,0.5,-1.0,1.0,0.44,3,"4010,11659,12779,1424,8216,9562,5726"
82,7,2,0.8,0.2,0.5,-1.0,1.0,0.44,4,"4010,11659,12779,1424,8216,9562,5726"
83,7,2,0.8,0.2,0.5,-1.0,1.0,0.44,5,"4010,11659,12779,1424,8216,9562,5726"
84,7,2,0.8,0.2,0.5,-1.0,1.0,0.44,6,"4010,11659,12779,1424,8216,9562,5726"
85,7,2,0.8,0.2,0.5,-1.0,1.0,0.6,2,"4010,11659,12779,1424,8216,9562,5726"
86,7,2,0.8,0.2,0.5,-1.0,1.0,0.6,3,"4010,11659,12779,1424,8216,9562,5726"
87,7,2,0.8,0.2,0.5,-1.0,1.0,0.6,4,"4010,11659,12779,1424,8216,9562,5726"
88,7,2,0.8,0.2,0.5,-1.0,1.0,0.6,5,"4010,11659,12779,1424,8216,9562,5726"
89,7,2,0.8,0.2,0.5,-1.0,1.0,0.6,6,"4010,11659,12779,1424,8216,9562,5726"
90,10,2,0.8,0.2,0.5,-0.5,0.3,0.3,2,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
91,10,2,0.8,0.2,0.5,-0.5,0.3,0.3,3,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
92,10,2,0.8,0.2,0.5,-0.5,0.3,0.3,4,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
93,10,2,0.8,0.2,0.5,-0.5,0.3,0.3,5,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
94,10,2,0.8,0.2,0.5,-0.5,0.3,0.3,6,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
95,10,2,0.8,0.2,0.5,-0.5,0.3,0.44,2,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
96,10,2,0.8,0.2,0.5,-0.5,0.3,0.44,3,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
97,10,2,0.8,0.2,0.5,-0.5,0.3,0.44,4,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
98,10,2,0.8,0.2,0.5,-0.5,0.3,0.44,5,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
99,10,2,0.8,0.2,0.5,-0.5,0.3,0.44,6,"3206,11659,12779,6802,1843,2034,9427,8216,9562,11615"
