source_number	filter	x_image	y_image	nmad_flux_error	redshift_bin	pointing
958	F356W	10277.0078	678.4905	0.0037573147225899253	z7-8	nircam7
998	F356W	689.4515	692.9848	0.0017114152427981893	z7-8	nircam7
1359	F356W	10364.5273	822.081	0.0011790481340646513	z7-8	nircam7
1843	F356W	3334.6228	1008.3906	0.0017473320324139976	z7-8	nircam7
2308	F356W	2381.7744	1199.5356	0.0022432533493589616	z7-8	nircam7
2820	F356W	4191.3369	1370.4683	0.0012257514735914874	z7-8	nircam7
4316	F356W	2933.6445	1716.5439	0.0014709884264433642	z7-8	nircam7
6714	F356W	1988.8589	2385.3889	0.0014686865953677205	z7-8	nircam7
8044	F356W	4031.7251	2714.7156	0.001142795962516609	z7-8	nircam7
8191	F356W	4029.9971	2761.7026	0.001456656254169439	z7-8	nircam7
8243	F356W	721.7584	2775.0002	0.0013945433856394033	z7-8	nircam7
9004	F356W	9744.3789	2976.4863	0.0013105178077428745	z7-8	nircam7
9657	F356W	10838.999	3153.0935	0.002527370114322496	z7-8	nircam7
11711	F356W	4261.9868	3654.02	0.0012980019611813355	z7-8	nircam7
12315	F356W	3074.6379	3783.8662	0.0013223856437235776	z7-8	nircam7
12905	F356W	3169.3682	3929.7971	0.0012253766731962284	z7-8	nircam7
13770	F356W	4689.7471	4225.3452	0.0016964831129537572	z7-8	nircam7
13889	F356W	10283.1572	4281.4468	0.0015563785119055381	z7-8	nircam7
14498	F356W	10104.6582	4501.1499	0.0012251915565780252	z7-8	nircam7
14526	F356W	3957.8804	4510.4092	0.0011991044874871666	z7-8	nircam7
958	F410M	10277.0078	678.4905	0.003376475762417805	z7-8	nircam7
998	F410M	689.4515	692.9848	0.003317958609360365	z7-8	nircam7
1359	F410M	10364.5273	822.081	0.0027107354728196503	z7-8	nircam7
1843	F410M	3334.6228	1008.3906	0.00336154210246578	z7-8	nircam7
2308	F410M	2381.7744	1199.5356	0.0037287549363222024	z7-8	nircam7
2820	F410M	4191.3369	1370.4683	0.002772094545983604	z7-8	nircam7
4316	F410M	2933.6445	1716.5439	0.00299941752950662	z7-8	nircam7
6714	F410M	1988.8589	2385.3889	0.002667080435806687	z7-8	nircam7
8044	F410M	4031.7251	2714.7156	0.0031105203069536846	z7-8	nircam7
8191	F410M	4029.9971	2761.7026	0.0025984948277648916	z7-8	nircam7
8243	F410M	721.7584	2775.0002	0.0028191204981221937	z7-8	nircam7
9004	F410M	9744.3789	2976.4863	0.0033630021685142923	z7-8	nircam7
9657	F410M	10838.999	3153.0935	0.0029563237909941177	z7-8	nircam7
11711	F410M	4261.9868	3654.02	0.0026499433811396477	z7-8	nircam7
