source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M
15388	7339.438	4963.9541	0.354							32.0053	0.3961	0.00537248516849033	0.0019594432569832363	2.74184268890839	0.003071827650002563																																										
2150	11152.1113	1068.5753	0.002							28.887	0.0224	0.09495260149766763	0.001956950243302671	48.52070297782314	0.004053403866661674																																										
13541	4923.0176	4283.2534	0.347							36.4254	23.1941	9.165234042095866e-05	0.0019574490048168227	0.04682233876613069	0.002649707848613852																																										
3190	1774.3264	1444.7748	0.001							29.7154	0.048	0.04427466068142925	0.001958446527845126	22.607030650024715	0.0032963090248625533																																										
6226	2537.8765	2304.6191	0.276							99.0	99.0	-0.003095554505554482	0.001957947766330974	-1.5810199632420658	0.003268538818567705																																										
6347	2224.0906	2340.916	0.349							32.5039	0.6277	0.0033943529424587116	0.001961933492048124	1.7301060184844697	0.003950963540568921																																										
11619	8115.5933	3740.1277	0.092							29.8706	0.0554	0.03837629470977256	0.0019564510848434223	19.615258979420826	0.0027275161940788165																																										
3397	1615.994	1526.3416	0.346							99.0	99.0	-0.003046128886824194	0.001956950243302671	-1.5565694106168777	0.0027856278844011033																																										
1136	8895.0742	723.8979	0.019							99.0	99.0	-0.004203331019224667	0.001961933492048124	-2.142443174685131	0.002583353241229907																																										
3468	3157.3337	1533.2933	0.361							99.0	99.0	-0.002545950278676796	0.001961933492048124	-1.2976741000628917	0.0030579218375699512																																										
13962	10443.3291	4448.999	0.351							31.5998	0.2721	0.007805018309378817	0.001955452569452377	3.9914127457280166	0.002601273245507676																																										
10613	8969.9922	3391.9084	0.052							30.1406	0.071	0.029926345808515227	0.001955452569452377	15.304050978283803	0.0030657018125426266																																										
14731	4293.6606	4737.1919	0.367							31.4185	0.2305	0.009223688177053276	0.0019574490048168227	4.712096281617526	0.0031992400065847366																																										
17302	782.5959	5739.8467	0.347							35.6265	11.1127	0.00019129328030439795	0.0019574490048168227	0.09772580528722336	0.0025562989924067985																																										
8611	4052.0334	2928.0273	0.024													31.8681	0.6388	0.0007953380875628109	0.0004677988409547721	1.7001711375332502	0.0013217874256048888																																				
13052	7408.853	4114.4893	0.0													29.2166	0.0556	0.009143613554020064	0.0004677988409547721	19.546037214111205	0.001669331870718741																																				
16859	3620.2275	5740.2598	0.016													27.385	0.0103	0.04940486276381889	0.0004676797379396966	105.63823650232467	0.011279304450204315																																				
15465	2558.5005	4991.9434	0.02													99.0	99.0	-0.008469762354271325	0.00046827499409547556	-18.087154900576312	0.004754325549269959																																				
17070	10394.2734	6013.9541	0.437													29.6193	0.0805	0.0063104169233668085	0.0004676797379396966	13.493030404025081	0.01179251166548608																																				
8555	1922.5234	2911.7185	0.259													99.0	99.0	-0.00011629925242462265	0.00046839383819095295	-0.24829372835859173	0.0009769512225031398																																				
2214	9262.2236	1136.748	0.348													99.0	99.0	-0.0006320633890703492	0.0004677988409547721	-1.3511435551663937	0.0012902021931883497																																				
6955	386.9524	2511.0359	0.032													99.0	99.0	-0.009656686040200965	0.0004677988409547721	-20.642817371013102	0.009493525876803275																																				
972	3194.9026	675.0975	0.0													29.0356	0.0471	0.010802304282663272	0.0004689883175879378	23.03320547134478	0.0010059230849578523																																				
5990	4946.1919	2229.1836	0.0													29.9283	0.1069	0.004747547159547719	0.00046720280804019905	10.161640893089904	0.0011597365555512523																																				
