source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
10298	2648.8091	4301.8257	0.349	31.7191	0.4447	0.004076427482931856	0.0016692460350396304	2.442077079928529	0.002561597387066129																																																
6772	9782.6445	2653.271	0.348	31.3379	0.3129	0.005790883175842316	0.001668395685766783	3.470929123855212	0.0022551249088162795																																																
8201	1459.0918	3149.2197	0.356	29.8627	0.0804	0.022534151606056808	0.0016675441795561492	13.513376066626751	0.0025122976019857106																																																
4473	557.1085	1904.3894	0.35	31.3374	0.3127	0.00579360313657764	0.0016679699326614663	3.473445787678667	0.00246430716467774																																																
3417	6613.7573	1584.8811	0.359	99.0	99.0	-0.0015265030509798766	0.001668395685766783	-0.9149526482252359	0.002391958088006064																																																
11585	10221.1387	4203.5713	0.342	99.0	99.0	-0.0003237835011867632	0.0016692460350396304	-0.19396990880321374	0.002423246826856186																																																
10984	8473.8818	4658.2793	0.357	31.4666	0.3531	0.005143672510306934	0.0016722193651501312	3.0759555938075964	0.002894765070600103																																																
4960	8740.3496	2050.1614	0.347	33.7576	2.908	0.0006235515191954135	0.001669671788144947	0.37345754035180595	0.002284388889399515																																																
9467	6525.5913	4110.0259	0.029	25.6759	0.0017	1.0654624176341225	0.0016692460350396304	638.2896201450776	0.0030302504730110647																																																
8376	6093.0674	3225.6052	0.365	30.4948	0.144	0.01258946147732909	0.0016688214388720997	7.543923624230213	0.002800127122983243																																																
5369	6554.2119	2191.582	0.347													99.0	99.0	-0.0003261390228103085	0.002064854806058921	-0.15794767838073456	0.0028766464529564363																																				
7189	2489.0913	2782.6433	0.349													33.4095	1.5221	0.0014740224721178845	0.0020659067105654886	0.7134990484223795	0.003223313129720087																																				
5262	4122.624	2165.5752	0.597													30.2455	0.0825	0.02717190408718577	0.002064854806058921	13.15923231379515	0.0028397695307450193																																				
1704	966.2051	893.0404	0.36													30.9035	0.1514	0.01482266029416051	0.0020664326628187725	7.173067170715965	0.0029305441998288616																																				
5396	6851.2759	2203.1304	0.347													99.0	99.0	-0.001866681554252945	0.0020680105195786235	-0.9026460632479272	0.0029328747402536394																																				
8961	9220.709	3436.2432	0.348													31.6354	0.297	0.007553553590544643	0.0020659067105654886	3.6562897791628997	0.0033984921643550603																																				
10498	8676.1797	4604.9004	0.348													32.0252	0.4249	0.005274906140065056	0.0020638009168268694	2.5559181106360387	0.0031432439923314215																																				
3773	8367.9648	1679.11	0.347													99.0	99.0	-0.0035353617339268376	0.0020653807583122046	-1.7117239616466058	0.0029106487185087977																																				
3678	6851.0122	1801.4214	0.007													29.2348	0.0325	0.06892804736557932	0.0020653807583122046	33.373046150534584	0.0027508250753302444																																				
4197	7052.3193	1823.9382	0.02													99.0	99.0	-0.005037602437559864	0.002068536471831908	-2.435346200639399	0.0032296384161835437																																				
12165	1128.7451	4259.7202	0.351													99.0	99.0	-0.0015436537871114959	0.002066958615072056	-0.7468237515039374	0.0030101956290702163																																				
920	4316.5552	521.7938	0.35													31.4836	0.2583	0.008687208939801877	0.0020664326628187725	4.203964201742658	0.003172903815834055																																				
10392	9155.0078	4649.7285	0.348													99.0	99.0	-0.0004226292308350103	0.0020653807583122046	-0.20462533561142304	0.003345188111769513																																				
3935	2038.6156	2185.5503	0.025													30.7749	0.1345	0.016686359202955966	0.002066958615072056	8.072904353904669	0.0028656761496222956																																				
4272	7807.0503	1847.7134	0.35													32.7263	0.8112	0.0027656633592165005	0.0020659067105654886	1.3387164798256896	0.0025944173611854235																																				
1568	9998.5264	834.585	0.372													31.0578	0.1745	0.012858032140322636	0.0020659067105654886	6.223917118117633	0.0032488041481447652																																				
5081	9146.9355	2098.4834	0.355													30.9381	0.1565	0.014357776059296681	0.0020690624240851914	6.939266738481698	0.0026627347228706925																																				
