NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,pointing
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F356W,1.17123,0.03846565,30.448725031294156,0.02489652250977976,0.0012072248336224734,20.622937680194763,9.825787351099393,1.4764494517449658,nircam8
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F410M,1.280562,0.0001258114,10178.425802431257,0.02662729051719863,0.0029249074333650383,9.103635285498436,10169.322167145758,1118.0616845058478,nircam8
1398,842.7944,841.1067,215.0796287,52.9095632,0.997,F444W,1.806852,7.607669e-05,23750.40239000934,0.04100595585142953,0.0021044755129829467,19.485119022984712,23730.917270986356,1218.8995285065125,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F606W,0.01767584,0.03895007,0.4538076568283446,0.0018197867797782846,0.003752000098792287,0.48501778567757686,-0.031210128849232244,0.9356515786207072,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F814W,0.108056,0.02359911,4.578816743512785,0.0044459537860272215,0.003040306277193939,1.4623374688850854,3.1164792746277,3.1311628409574737,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F115W,0.154092,0.0520197,2.962185479731717,0.007864843319095446,0.0017080769909028279,4.604501647749715,-1.6423161680179983,0.6433237962200271,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F150W,1.479581,0.0002224741,6650.576404174689,0.025241306763352175,0.002390364059390748,10.559607715063136,6640.016796459626,629.8128286231441,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F200W,1.438833,0.0001704174,8442.993497142897,0.022779716246575335,0.0020846409685123697,10.927405049911915,8432.066092092986,772.6439587970573,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F277W,1.234997,0.0001101559,11211.35590558472,0.021600533746791353,0.0019666758313783054,10.983271061836891,11200.372634522882,1020.7665678524811,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F356W,1.15317,0.04650644,24.795920736999005,0.0226630605868609,0.001543546887372891,14.682456861050275,10.11346387594873,1.6888127764759724,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F410M,1.379206,0.0001521108,9067.11423514964,0.02510719216411317,0.002816108820685755,8.915561777900075,9058.19867337174,1016.9986436104602,nircam8
2080,9812.8047,1110.6442,214.9964008,52.8541553,0.997,F444W,2.038927,9.197962e-05,22167.160507947305,0.03777256000194089,0.0020368454679255943,18.544637085507517,22148.6158708618,1195.3407556986251,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F606W,0.1109941,0.02986396,3.716657134552819,0.008515841882404313,0.0037503368298865444,2.2706872125568345,1.4459699219959847,1.6367983727568522,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F814W,0.03716469,0.01809401,2.0539775317909075,0.004703402452195925,0.003085011354498802,1.5245981008585463,0.5293794309323612,1.3472255610408093,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F115W,0.4860364,0.03988476,12.186017917620665,0.011856863091708495,0.0013301023734354667,8.914248503356845,3.2717694142638205,1.367026947143303,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F150W,0.9291258,0.0001705763,5446.980618057725,0.02171788364561821,0.0019099758566667683,11.370763441753446,5435.609854615972,479.0338525605423,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F200W,0.9789469,0.0001306632,7492.139332267998,0.01752740134190486,0.0013179753366032861,13.29873242323096,7478.840599844767,563.3724398560207,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F277W,0.6376945,8.445924e-05,7550.3224987579815,0.011886163854682722,0.001312055532068566,9.059192666901213,7541.26330609108,833.4431970239401,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F356W,0.4400854,0.03565762,12.341973468784513,0.009277892444729997,0.0010399359850028521,8.921599577789927,3.420373890994586,1.3833812379911683,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F410M,0.5333689,0.0001166271,4573.284425317958,0.007210936383311817,0.0026400323540743897,2.731381822720128,4570.553043495238,1674.3482684392754,nircam8
2288,9120.8135,1194.7028,215.0017125,52.8589986,1.0,F444W,0.7030037,7.052301e-05,9968.430162013789,0.01645062045029613,0.0021455219587716377,7.667421152713114,9960.762740861075,1300.102076496276,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F606W,0.5866958,0.05574239,10.525128183416605,0.03252001715059492,0.00323495147357735,10.05270632842998,0.47242185498662437,1.0469944947710819,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F814W,0.2273126,0.03377326,6.730549553107991,0.03699732729068183,0.002876262061041751,12.862989013345256,-6.132439460237265,0.5232492654798271,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F115W,2.204069,0.07444666,29.60601590454159,0.04013761251256265,0.0012840805238145856,31.257862546911664,-1.6518466423700744,0.9471542035258812,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F150W,4.430932,0.0003183881,13916.763848900133,0.06208853145109195,0.0017182959170452359,36.13378279909944,13880.630066101034,385.1455001618867,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F200W,3.302344,0.0002438885,13540.384232958913,0.04263246851180682,0.0015333958583432557,27.802650098369707,13512.581582860543,487.0177549640455,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F277W,3.884031,0.0001576469,24637.53489602396,0.03725873961234089,0.0021218702518613526,17.559386385504336,24619.975509638458,1403.0977139590022,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F356W,2.480144,0.06655651,37.26373272877439,0.03602188372390681,0.0013257837974613783,27.170254903462997,10.093477825311396,1.3714899937882044,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F410M,3.906717,0.0002176895,17946.28128596005,0.03802417412706817,0.0032929692700465435,11.547078338368681,17934.73420762168,1554.183730297219,nircam8
4493,1784.5333,1792.387,215.0611824,52.9087432,0.254,F444W,2.810095,0.0001316343,21347.74143213433,0.03050386517590363,0.0024989852461696905,12.206500707700577,21335.53493142663,1748.882988116891,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F606W,0.01593669,0.03255874,0.48947502268208165,0.003729586790135277,0.0030079682285745835,1.239902321675337,-0.7504272989932554,0.39476901859552166,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F814W,0.04999712,0.01972672,2.534487233559355,0.004994823664475793,0.0027213575484282978,1.8354161757834873,0.6990710577758676,1.3808787712560362,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F115W,0.5824473,0.04348376,13.394593751782274,0.011910234188442163,0.0014085280672501567,8.455801815645955,4.938791936136319,1.5840713919049005,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F150W,1.976388,0.0001859682,10627.558905232185,0.032275892922087865,0.002078668004539562,15.527199558371601,10612.031705673813,684.4478854850719,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F200W,0.9588141,0.0001424535,6730.716339015889,0.020744062013051703,0.0016605087678213963,12.49259408624991,6718.22374492964,538.7765177149328,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F277W,0.8733368,9.20804e-05,9484.502673750332,0.01986333470431545,0.0013399479889076886,14.823959488537932,9469.678714261794,639.8089984719579,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F356W,1.029939,0.03887518,26.49348504624287,0.021917148460599306,0.0011424933620230709,19.18361120434827,7.3098738418946,1.3810478519413332,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F410M,0.9976093,0.0001271509,7845.868963570057,0.022112211158052265,0.0030610528071440928,7.223727439933505,7838.6452361301235,1086.1247228400798,nircam8
6986,9195.8779,2493.7566,214.9873926,52.8655437,0.999,F444W,0.95559,7.688664e-05,12428.557158955055,0.020119724030852718,0.002190173339307233,9.186361494664494,12419.37079746039,1352.9357805235131,nircam8
