pointing,source_id,filter,x_image,y_image,flux_ujy,sex_snr,nmad_snr,local_rms_snr,weighted_rms_snr,global_stats_snr,sex_flux,nmad_flux,nmad_error,local_rms_error,weighted_rms_error,global_stats_error
nircam2,1332,F356W,8442.8867,2161.2656,0.011091213331978997,25.96995201356776,0,20.831458523705628,7.686048385720518,28.529636791045675,0.5243084,,,0.025169068186145078,0.06821560114622116,0.018377675251882622
nircam2,1332,F410M,8442.8867,2161.2656,0.010761862670024606,11.370074446234888,0,10.013829576399377,3.946835486199515,7.908098571486712,0.5087392,,,0.05080366068931291,0.1288979947566986,0.06433141865913258
nircam2,1332,F444W,8442.8867,2161.2656,0.015132016290418398,20.021330465760418,0,20.44789187997952,5.436473216427173,7.392697490610613,0.7153269,,,0.03498291678177225,0.1315792202949524,0.09676128380858666
nircam2,2034,F606W,9175.8096,2432.2783,0.0009436180266897171,0.7657506923320202,0,0.6677333384079062,0.3791066154234357,0.03992088992536535,0.01033876,,,0.015483366495749596,0.02727137692272663,0.2589812005526173
nircam2,2034,F814W,9175.8096,2432.2783,0.0005442735703014719,0.3546511824299151,0,0.34806761867862085,0.20272406867064338,0.006468070959972734,0.003569667,,,0.010255671049066932,0.01760850101709366,0.5518905129660249
nircam2,2034,F115W,9175.8096,2432.2783,0.010379047420100151,20.17219291263477,0,17.406684508145947,4.694917536903931,0.239526322194539,0.4906426,,,0.02818702204721353,0.10450505465269089,2.0483869810413107
nircam2,2034,F150W,9175.8096,2432.2783,0.02701806320196961,44.31182370041366,0,40.16061733052003,10.446712673936753,1.0267191981542143,1.277209,,,0.03180252408693394,0.12225941568613052,1.2439710899495247
nircam2,2034,F200W,9175.8096,2432.2783,0.02871448607435678,58.98418285316995,0,52.84019108450246,16.355213387567424,2.5407994519099613,1.357403,,,0.02568883594363295,0.08299513161182404,0.5342424798539757
nircam2,2034,F277W,9175.8096,2432.2783,0.03284179826461686,83.03019282656305,0,58.278017534254545,19.1199514416482,84.90570603568302,1.552511,,,0.026639735970556442,0.08119848370552063,0.018285119722666596
nircam2,2034,F356W,9175.8096,2432.2783,0.04177730604032277,97.99554410983919,0,88.03383849437397,26.67158429250504,107.46266722705792,1.974914,,,0.02243357819875379,0.07404562085866928,0.018377675251882622
