NUMBER	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
7140	-1	z10-15	nircam8	-0.02134108	0.02281477	-0.002241025513853404	0.0018273242294552933	-0.02432049	0.01382304	-0.00333599605905002	0.0018992991282761218	0.1707773	0.03047024	0.0025365990527638094	0.0005461727675879375	-0.02155967	0.0001303129	0.0013255581074823044	2.3201965033902484e-06	0.1143919	9.9821e-05	0.004560909818327435	1.7879568238419474e-06	0.1732462	6.45232e-05	0.007867735027663633	1.3419286779277268e-06	0.2300294	0.02724088	0.006113476874819998	0.0006153467509241816	0.3140465	8.909803e-05	0.005227467727004088	2.1093544728384535e-06	0.208762	5.387653e-05	0.0	0.0
7675	-1	z10-15	nircam8	0.137883	0.02356749	0.013364274282116399	0.00182406629264939	0.09961805	0.01427909	0.014720955021453814	0.0018959131866002645	-0.03795912	0.03147552	0.002892947506281395	0.0005451992298994954	0.1010469	0.0001346122	0.003423205284710067	2.316060174166743e-06	0.8177185	0.0001031143	0.021912357076660664	1.7847692779869582e-06	0.6857366	6.665197e-05	0.019568685933624534	1.3395364591664994e-06	0.5190833	0.02813962	0.01049196842838454	0.0006142497493500453	0.3799815	9.203758e-05	0.008274332911106816	2.105594135231363e-06	0.9472542	5.565404e-05	0.0	0.0
7789	-1	z10-15	nircam8	0.02600005	0.01436319	0.004652324503326669	0.0018254627165573182	-0.01438602	0.008702385	-0.004406497443403517	0.001897365013291876	-0.0396389	0.01918274	-0.0007408285213567809	0.000545616608291455	0.08110598	8.203933e-05	0.0006447684172083247	2.317833731732203e-06	-0.0256261	6.284297e-05	-0.0015394032786704788	1.7861361452557818e-06	0.05770431	4.062101e-05	0.004720571920740452	1.3405620820285903e-06	-0.01069566	0.01714967	0.0015681024068918406	0.0006147202657896361	0.2925372	5.609225e-05	0.012226390968603632	2.1072061970247264e-06	0.2947592	3.391832e-05	0.0	0.0
8814	-1	z10-15	nircam8	0.01258919	0.01126741	0.003927688090326294	0.001826394051475199	0.008457206	0.006826713	0.0015862489730882885	0.0018983323684928217	0.02073656	0.01504818	0.001658287072989943	0.0005458949468592943	-0.1012264	6.435694e-05	-0.0016356560063391999	2.3190155033408585e-06	-0.03485905	4.929808e-05	-0.002769928189405075	1.7870466139135502e-06	0.006140007	3.186574e-05	-0.0008610818919172269	1.3412455301865448e-06	0.068378	0.01345331	0.002313830503145158	0.0006150338346512498	0.3559265	4.400238e-05	0.013399434372259086	2.1082806769048175e-06	0.01711099	2.660772e-05	0.0	0.0
8922	-1	z10-15	nircam8	0.1841112	0.03206762	0.007310592688141701	0.0018259289624851514	-0.04807934	0.01942917	-0.0006468909052391523	0.0018978488893648974	-0.1048934	0.04282786	-0.001158011946859292	0.0005457556481155756	0.1602771	0.0001831631	0.0011368272526818537	2.3184247461297416e-06	0.9713433	0.0001403048	0.006013269033325172	1.7865915089493516e-06	0.8341269	9.069148e-05	0.011681156444805904	1.3409039563159538e-06	0.4210151	0.03828879	0.005342149682344997	0.0006148768870732726	1.616408	0.000125233	0.030612225880765443	2.107743436964772e-06	0.4994403	7.57269e-05	0.0	0.0
8938	-1	z10-15	nircam8	-0.01711552	0.01154566	-0.00186712173236234	0.0018254627165573182	-0.03190797	0.006995299	-0.008382694493503469	0.001897365013291876	-0.03191336	0.01541979	0.0002706419238693457	0.000545616608291455	-0.01141209	6.594625e-05	0.001335129557359937	2.317833731732203e-06	0.1017705	5.05155e-05	0.0045053399239496274	1.7861361452557818e-06	0.0697294	3.265266e-05	0.002387711608386044	1.3405620820285903e-06	0.04541159	0.01378554	0.001825337529430545	0.0006147202657896361	0.1212322	4.508902e-05	0.005961609011848634	2.1072061970247264e-06	0.1884553	2.72648e-05	0.0	0.0
11183	-1	z10-15	nircam8	-0.05740979	0.0449286	0.002586447800924116	0.0018291834284776959	-0.08546259	0.02722138	0.0017675468979932423	0.001901231258534883	0.5051782	0.06000431	0.0048444167487437	0.000546728409045224	0.1629468	0.0002566221	0.003250540608499628	2.322556960370496e-06	1.6328	0.0001965751	0.010903546515964164	1.7897756913225135e-06	1.210999	0.000127064	0.009757831186619086	1.3432937717429994e-06	0.6253468	0.05364481	0.0068111235421743155	0.0006159729097643862	1.216551	0.0001754586	0.01303725052725454	2.1115003548395903e-06	1.9512	0.0001060978	0.0	0.0
12484	-1	z10-15	nircam8	0.003062527	0.0203906	0.00048615081105715695	0.0018259289624851514	-0.02807655	0.01235428	-0.006708902057927657	0.0018978488893648974	0.081259	0.02723263	0.0009680294329145689	0.0005457556481155756	0.0894937	0.0001164665	0.002300753209894196	2.3184247461297416e-06	0.01517824	8.921454e-05	-0.0016317750975579873	1.7865915089493516e-06	0.3226324	5.76673e-05	0.006931708463870907	1.3409039563159538e-06	0.1328939	0.0243464	0.003332277693590681	0.0006148768870732726	0.2754181	7.963093e-05	0.007590577961568634	2.107743436964772e-06	0.4547246	4.815189e-05	0.0	0.0
14040	-1	z10-15	nircam8	-0.01552923	0.008356138	-0.0008751023038642622	0.0018282532504976013	-0.005133633	0.005062826	0.006553323396680829	0.0019002654911143247	-0.004922015	0.01116003	0.00037307595414572716	0.0005464508472361788	-0.005490596	4.772839e-05	-1.316324343376633e-06	2.321376989066794e-06	-0.008454937	3.656044e-05	-0.0003805101816868818	1.7888665163116016e-06	0.05138241	2.363226e-05	0.0007836395549932724	1.342611525252136e-06	0.008174675	0.009977242	0.0011752280320145906	0.0006156599934914543	0.1463527	3.263304e-05	0.00955772081600636	2.1104275848256355e-06	0.379142	1.973281e-05	0.0	0.0
15197	-1	z10-15	nircam8	0.008051167	0.01522144	0.0021335216978231202	0.0018259289624851514	0.01062558	0.009222382	0.0004152252124166134	0.0018978488893648974	0.1827611	0.02032897	0.0053660568844220895	0.0005457556481155756	0.04616652	8.694145e-05	0.002315814303947401	2.3184247461297416e-06	0.212765	6.659804e-05	0.005841364064415114	1.7865915089493516e-06	0.1521333	4.304824e-05	0.0050171974337959065	1.3409039563159538e-06	0.2197143	0.01817442	0.008550941282618634	0.0006148768870732726	0.2720497	5.944394e-05	0.01190966562470045	2.107743436964772e-06	0.02291568	3.594505e-05	0.0	0.0
